H:12-N:4-O:4-Pt:1-X:2	N:C	9047:9966	1938:1896
C:10-H:19-N:1-X:4	O:H	11118:5062	1786:1846
H:4-O:6-Te:1-X:2	H:K	2023:2221	1838:1765
C:7-H:7-O:1-X:1	Cl:H:K:N:Na	11333:1950:10721:1936:7310	1793:1898:1840:1920:1949
C:2-H:3-Cl:1-O:4-X:2	H:C	3073:9179	1915:1818
C:9-H:12-I:1-N:1-X:2	H:C	10763:6481	1798:1721
O:4-P:1-Tl:1-X:2	H:Tl	9419:8666	1795:1992
C:1-H:2-O:5-X:2	Cu:C	3753:2007	1967:1825
C:7-H:7-X:1	I:Br:Cl:H	11135:9596:4454:3152	1727:1896:1783:1972
C:1-N:1-X:1	Hg:Cl:Cu:H:I:K:O:S:Na:Ni:Br:Rb:Se:Tl:Zn:Ag:Au	566:864:210:11:804:158:2944:585:1544:2525:1375:8608:9875:8226:4373:865:2324	1913:1742:1871:1851:1703:1888:1938:1994:1974:1827:1895:1940:1868:1869:1996:1837:1846
Fe:1-H:10-O:8-S:1-X:1	S:O	3319:6309	1970:1770
C:7-H:4-N:1-O:4-X:1	I:H:Br:Cl	9650:2929:10640:10075	1870:1828:1875:1783
C:7-H:4-N:1-O:4-X:3	H:N	5527:8845	1854:1927
C:4-H:5-N:1-O:4-X:2	Ag:C:H	5479:5144:1377	1846:1831:1838
Br:2-N:1-X:1	O:Br	7513:2600	1852:1958
C:6-H:3-Cl:2-N:2-X:1	Cl:Br	10766:10729	1797:1725
Cd:1-Cl:4-H:8-O:4-X:1	Cu:Ba	6160:6090	1760:1984
C:14-H:15-N:2-X:1	H:N	7080:8564	1905:1805
C:18-H:34-O:2-X:2	Br:H	9187:2967	1753:1917
Ba:1-S:2-X:3	O:S	3234:7797	1903:1767
C:2-H:4-Cl:2-X:1	O:C	9441:7381	1757:1958
H:4-K:2-O:2-S:1-X:3	O:S	3712:10480	1776:1805
Cl:6-Tl:3-X:1	Fe:Tl	10285:8625	1786:1844
Ba:1-H:4-O:5-P:2-X:2	H:N	1491:9117	1723:1979
C:7-H:7-K:1-O:2-X:1	C:O	4445:2834	1702:1998
C:10-H:6-N:2-X:4	H:O	3898:3888	1765:1881
C:11-H:18-O:1-X:2	O:H	11237:11215	1741:1801
C:6-H:13-N:1-O:1-X:1	O:S	764:5512	1852:1727
C:6-H:12-N:3-O:12-X:1	Cr:Fe	3925:3960	1984:1935
C:1-H:6-N:2-X:2	O:S:C	130:899:5905	1993:1993:1726
C:5-H:6-O:5-X:2	H:C	5261:9	1737:1764
C:6-H:3-O:3-X:3	Br:H	6213:3694	1905:1702
H:24-Na:2-O:16-P:1-X:1	Na:H	4261:1649	1949:1893
C:6-H:13-N:1-O:1-X:4	O:C	2676:4642	1919:1845
H:16-Mg:1-O:10-P:1-X:1	P:N	1488:8230	1820:1732
C:6-H:3-O:3-X:7	N:H	5128:8884	1809:1817
C:10-H:6-O:2-X:6	H:O	3091:5290	1897:1762
C:12-H:4-N:2-O:4-X:4	H:O	8413:3112	1811:1937
C:10-H:12-O:1-X:2	H:O:N	3086:4038:8074	1766:1780:1727
C:10-H:12-O:1-X:3	C:O	1862:1734	1760:1996
C:3-H:9-Sb:1-X:1	O:S	5560:5561	1859:1914
C:10-H:12-O:1-X:4	H:O:C	6:9675:1847	1745:1867:1795
C:3-H:9-Sb:1-X:2	Br:Cl:I	5564:5559:5562	1779:1780:1854
C:4-H:2-N:4-S:4-X:1	Hg:Pt	9847:5880	1889:1733
Cl:1-Cr:1-K:1-X:3	O:Cl	1970:3764	1797:1855
H:14-O:11-Zn:1-X:1	S:Se	1643:1367	1788:1945
C:12-H:16-O:7-X:6	C:H	6229:8410	1883:1713
C:7-H:10-N:3-O:3-X:1	Ag:H	7158:5080	1968:1767
C:15-H:14-O:2-X:1	C:O	11169:11229	1916:1876
C:15-H:14-O:2-X:2	O:N	4882:5082	1776:1972
Br:1-Cl:2-H:12-N:4-Pt:1-X:1	Cl:Br	9957:4526	1990:1762
H:2-P:2-X:2	P:H	2330:1858	1719:1899
Ca:3-O:8-X:2	P:As	1007:1761	1750:1794
S:2-Sb:1-X:1	K:Sb	9844:2124	1769:1925
As:2-O:4-S:2-X:3	Co:Fe	1030:5241	1776:1832
H:13-N:4-O:5-Pt:1-S:1-X:1	Br:H:Cl	11046:3830:11045	1886:1864:1987
C:10-H:11-Cl:1-X:2	H:O	6717:10687	1701:1786
C:3-H:5-O:9-X:3	S:N	11302:4430	1977:1747
C:7-H:1-Ag:2-O:7-X:1	Ag:H	2017:2016	1994:1811
C:2-Cl:1-X:3	Cl:H	776:2260	1958:1769
C:2-Cl:1-X:5	Cl:H	805:1071	1881:1704
C:6-H:5-Br:1-X:1	Mg:O	3433:3755	1899:1711
C:4-H:4-Cu:1-O:3-X:3	C:O	6238:3819	1889:1880
H:12-N:4-Zn:1-X:2	I:Cl	2750:7850	1711:1752
C:6-H:3-N:3-X:2	H:Br	8176:10145	1750:1966
C:6-H:4-Br:3-N:2-X:1	I:H:Br:Cl	10731:10181:10733:10184	1890:1784:1975:1818
As:1-H:2-O:3-X:1	K:H	8272:96	1729:1730
C:5-H:8-Ag:1-N:1-O:2-X:2	H:O	10226:9914	1751:1768
C:4-H:4-N:1-O:3-X:1	H:N	8192:6273	1969:1991
S:4-Zn:1-X:1	W:S	1167:7548	1824:1807
C:11-H:26-I:1-X:1	N:P	5333:6762	1950:1908
C:8-H:6-Cl:1-O:3-X:1	H:Cl	3379:3654	1802:1817
C:15-H:14-N:2-X:2	H:O	2426:5082	1966:1972
C:8-H:11-N:3-X:2	O:C:H	7623:9649:10685	1907:1986:1850
C:5-H:1-Fe:1-N:6-O:1-X:1	Ca:H:Fe	4960:4933:4983	1902:1721:1873
C:5-H:13-Br:1-N:1-X:1	Br:I	7057:10174	1870:1785
C:9-H:12-N:2-O:2-X:2	N:O	11226:2153	1846:1968
H:2-O:2-X:1	Cd:Cu:Ca:Cr:V:Be:Mg:Co:Os:Pb:Sn:Sr:Ti:Ba:Zn:C:Mn:Fe:Ni	2427:34:73:4569:10982:1140:1081:74:8678:4249:446:245:5023:266:701:367:5786:196:862	1790:1717:1764:1771:1859:1874:1752:1920:1875:1889:1704:1976:1741:1991:1804:1903:1999:1872:1812
H:2-O:2-X:2	N:C	305:6398	1760:1942
C:6-H:3-Br:1-I:1-N:2-X:1	Br:H	10727:10722	1862:1734
C:6-H:4-Cl:1-O:2-X:1	H:Cl:N	3896:4872:8533	1915:1805:1976
H:20-N:2-O:28-S:4-X:6	Al:Fe	7898:7846	1910:1724
C:4-H:12-I:1-N:1-X:2	I:Cl	6478:6479	1800:1880
C:5-H:3-O:2-X:1	Cl:H	6269:3901	1829:1961
C:4-H:6-O:4-X:1	C:Co:O:Pb:Sr:Ni:Zn:S:Cd:Ba:Fe:Ca:Cu:Mg:Cr:Hg:Mn	855:3407:593:323:4691:258:7026:8942:2429:292:8519:2013:173:5100:3884:1226:4233	1956:1729:1987:1866:1999:1895:1871:1785:1742:1778:1994:1931:1830:1868:1774:1728:1755
C:4-H:12-I:1-N:1-X:4	I:Cl	6480:6482	1815:1913
C:4-H:6-O:4-X:2	Hg:O	1238:65	1869:1967
O:21-P:6-X:4	Bi:Fe	7382:1268	1746:1922
C:4-H:6-O:4-X:4	H:C:N	4626:1925:6458	1751:1783:1820
Na:2-S:3-X:1	Te:C	1215:1249	1816:1813
Al:1-K:1-X:4	I:Br:Cl	6607:6884:1350	1745:1834:1768
C:8-H:12-N:2-O:6-X:1	Ba:Pb	9681:9678	1885:1954
C:12-H:14-Cl:2-N:2-X:1	Pd:Hg	5646:8905	1977:1781
Na:2-S:3-X:2	C:S:As	9404:1139:1056	1891:1935:1863
C:3-O:9-X:2	Cr:In:Al	8987:8696:58	1924:1933:1909
C:6-H:7-N:3-O:1-X:2	H:O	8848:9281	1789:1837
C:3-H:3-I:1-X:2	I:Br:H	9569:9568:5876	1786:1953:1794
C:17-H:20-O:2-X:6	O:H	10679:9282	1927:1949
C:5-H:10-O:5-X:2	C:N	7357:7605	1982:1831
C:2-N:2-Na:1-X:1	Ag:Cu	6868:3668	1765:1892
C:1-H:3-N:1-S:1-X:1	C:S	4257:5069	1880:1832
C:5-H:10-O:5-X:5	C:O	3110:8069	1792:1764
Cd:1-K:4-X:6	Br:Cl	6182:3325	1936:1946
C:4-H:8-N:1-O:6-X:1	K:H	1466:1407	1873:1864
Au:2-X:1	O:S	3868:3525	1789:1860
C:2-H:3-O:2-Pb:1-X:1	Cl:Br:I	8650:8652:8668	1728:1848:1886
Au:2-X:3	O:P:S	744:4758:2874	1779:1808:1888
C:4-H:4-X:2	H:N	1745:7715	1760:1749
H:2-O:4-S:2-X:1	Sr:Ba	3295:1790	1977:1739
C:4-H:4-X:4	H:O	2675:2184	1768:1977
H:2-O:4-S:2-X:2	O:K	732:3559	1915:1749
Ba:1-O:2-X:2	Br:Cl:H	1127:2053:266	1759:1946:1991
C:4-H:4-X:6	O:H	1379:5350	1970:1966
C:2-H:6-S:2-X:1	C:S	8184:4420	1973:1725
C:7-H:6-Na:1-O:1-X:1	N:H	9679:7310	1999:1949
H:1-Na:1-O:4-P:1-X:1	H:Na	2048:608	1918:1726
Cu:2-P:2-X:7	O:S	4291:3629	1786:1974
C:16-H:12-N:2-O:3-X:1	O:S	3107:3391	1789:1747
H:1-N:1-Na:1-X:1	H:S	6844:9000	1787:1794
C:6-H:4-Cl:1-N:2-X:1	H:N:I:Br	10166:9744:10723:10711	1803:1758:1766:1881
H:8-O:5-S:1-X:4	C:N	6392:2240	1810:1850
C:12-H:17-N:1-X:2	H:O	5306:2825	1867:1795
C:18-H:16-X:2	H:O	10609:4889	1996:1802
C:4-H:6-N:4-X:2	O:C	9357:6836	1798:1898
C:8-H:6-O:7-X:2	H:N	8182:4878	1972:1761
N:2-Ni:1-O:5-X:1	Ni:O	8635:1747	1897:1858
C:2-Cl:2-Hg:1-N:2-X:1	Mg:Sr:Ca	2635:2636:2634	1705:1933:1792
C:13-H:12-N:1-O:1-X:1	N:H	4425:6730	1774:1736
C:4-H:7-K:1-O:1-X:3	O:C	3050:10721	1789:1840
H:8-N:5-O:7-P:4-X:1	H:K	9812:10855	1943:1892
C:18-H:26-O:2-X:2	O:C	8430:10139	1882:1974
C:11-H:11-N:1-X:2	C:O	5107:2467	1999:1992
C:11-H:11-N:1-X:3	O:C	5291:2465	1752:1999
As:2-X:1	Co:Pt:Zn	4830:581:1681	1983:1832:1844
As:2-X:2	Se:H:I:S:Te	7573:1714:4812:186:6537	1846:1847:1903:1779:1860
As:2-X:3	Se:Ca:Zn:Mg:O:S:Ba:Be	7433:1659:1654:10314:147:208:560:1476	1853:1988:1849:1992:1876:1757:1936:1945
C:3-H:3-Br:1-X:2	H:Br	6261:9567	1932:1760
C:4-H:12-As:1-X:1	As:I	3371:5992	1748:1974
As:2-X:5	Cu:O:S	7518:337:1017	1949:1813:1839
Cu:4-H:6-O:12-X:2	Cl:N	3624:2798	1842:1960
H:24-Na:3-O:15-P:1-X:1	S:O	4333:4261	1825:1949
C:4-H:1-N:4-Pt:1-X:1	O:H	2384:2378	1800:1834
C:2-H:4-Cl:1-O:2-S:1-X:1	H:Cl	5569:8400	1873:1921
H:6-N:4-O:4-X:1	Pd:Pt	4338:7843	1831:1902
O:7-X:2	Mn:Cr:W	5772:4910:2320	1978:1722:1955
C:16-H:40-I:4-Zn:1-X:2	As:P	8337:8330	1715:1938
C:7-H:8-N:2-O:1-X:1	C:O	9745:6424	1907:1915
C:8-H:9-N:1-O:1-X:1	O:C	7717:8155	1893:1884
O:7-X:6	Co:Fe	1497:4111	1932:1913
C:8-H:9-N:1-O:1-X:2	C:O:H	4734:4873:8153	1740:1965:1708
C:4-H:4-Na:1-O:4-X:1	H:Na	2177:3680	1707:1947
C:8-H:9-N:1-O:1-X:3	C:O	6995:2439	1970:1800
C:10-H:18-O:6-X:2	C:O	2925:2417	1966:1965
C:3-H:6-O:3-X:1	C:O	2170:6957	1724:1996
C:3-H:6-O:3-X:2	H:N	2450:2552	1772:1990
C:16-H:13-O:2-X:1	H:Br	11169:11214	1916:1879
C:9-H:10-O:3-X:2	N:C:O	7303:5714:9247	1998:1826:1870
C:3-H:6-O:3-X:4	N:C	4423:2850	1935:1776
F:6-H:4-O:2-Sr:1-X:1	Ti:Sn	7134:7198	1936:1778
C:2-H:2-Na:1-O:3-X:1	H:Na	8135:8603	1958:1888
F:5-U:1-X:1	K:Na	9787:9841	1987:1824
K:2-N:1-O:6-S:2-X:1	O:H	3919:3906	1805:1713
C:2-Cu:1-O:6-X:2	K:Na	7140:7200	1938:1860
C:9-H:7-O:2-X:1	H:Cl:Na:Br	2151:4867:10180:10607	1940:1887:1988:1865
C:12-H:10-O:1-X:1	O:C	10593:4735	1996:1928
C:7-H:4-Br:1-N:1-O:2-X:2	O:Br:H	10640:10160:10673	1875:1716:1733
C:9-H:7-O:2-X:3	H:Br	1512:10693	1964:1903
C:18-H:32-Br:2-O:2-X:2	H:Br	9187:10062	1753:1747
C:12-H:10-O:1-X:4	N:O	10213:9655	1710:1877
C:13-H:12-O:4-X:4	O:H	6553:11258	1985:1927
C:4-H:12-N:2-O:2-X:2	O:C	1551:8028	1824:1795
C:2-H:6-O:4-S:1-X:1	O:C	7250:6668	1803:1975
K:2-O:6-X:2	Sb:S	3749:622	1957:1783
C:18-H:26-N:2-X:2	I:C	7326:9338	1703:1786
C:15-H:13-N:3-O:2-X:2	H:O	10158:10704	1729:1995
C:4-H:8-O:6-Zn:1-X:2	H:O	2949:1339	1778:1802
C:6-H:2-Cl:1-N:1-O:3-X:2	H:N	10103:7339	1955:1906
C:1-H:1-X:1	N:Na	11:9786	1851:1926
C:1-H:1-X:3	H:Cl:I:O:Br	2147:1824:874:993:1921	1955:1746:1951:1751:1784
H:1-O:4-S:1-X:1	Tl:Ag:K:Na:H:Cs	9003:10859:225:224:143:7752	1974:1718:1761:1974:1927:1917
Cd:1-I:4-X:1	Cd:Hg	7132:1480	1745:1735
C:4-H:10-Sn:1-X:2	H:Br:Cl:I	7647:5553:7681:5551	1836:1787:1700:1961
C:27-H:45-O:1-X:1	H:Na	4866:8879	1748:1813
C:6-H:4-N:2-O:4-X:1	O:Cu	2982:10503	1913:1994
F:8-H:24-O:12-Zr:1-X:2	Ni:Cu:Zn	7553:7552:7438	1949:1743:1922
F:5-K:2-X:1	Sb:Ti	5382:8728	1818:1975
O:5-Te:2-X:2	Na:K	2070:2112	1711:1946
C:3-Cl:2-O:2-X:4	Cl:H	4225:2800	1972:1958
C:6-H:9-O:8-X:1	K:H	3881:287	1764:1714
Ag:3-X:1	N:Sb	3500:2494	1948:1968
H:2-K:1-O:4-S:1-X:1	K:N	4824:3982	1981:1969
C:9-H:9-N:3-O:3-X:3	C:O	4047:2422	1760:1897
I:2-O:3-X:4	Co:Na:Hg	2787:5470:10322	1986:1997:1766
H:40-K:6-Mo:12-O:62-X:2	Cr:Al	5825:5828	1910:1974
C:6-H:15-X:1	Sb:B:N:P:Al:As:Bi	5108:8378:5130:6028:10165:5874:5550	1729:1745:1991:1928:1759:1710:1950
C:12-H:10-N:1-X:1	H:N	8489:4076	1817:1923
C:6-H:13-O:2-X:1	H:Cl:N	4256:6823:764	1714:1984:1852
Bi:2-I:8-X:1	Mg:Zn	7531:7549	1902:1736
C:1-H:3-N:1-O:1-X:1	C:O	4711:5877	1722:1804
C:1-H:3-N:1-O:1-X:2	C:O	8009:7568	1879:1996
C:8-H:8-Cl:1-X:1	H:Cl	10086:4032	1935:1887
C:10-H:11-X:3	H:N	2555:9649	1786:1986
O:7-W:2-X:2	Na:K:H	7769:6564:10408	1759:1851:1993
Hg:3-S:2-X:2	Cl:I:F:Br	1427:8218:1462:1428	1720:1819:1914:1894
Cl:3-H:9-N:3-X:1	Tl:Bi:Al:Ir	8637:8264:1679:1474	1988:1901:1921:1876
C:12-H:11-N:1-O:4-X:1	C:O	11262:5525	1773:1989
H:4-O:7-Se:2-X:1	Mn:Ca	4780:686	1858:1940
C:2-H:10-O:1-X:2	N:C	7031:1505	1991:1762
C:2-K:1-N:2-S:2-X:1	Au:Ag	9459:4988	1963:1707
S:8-W:2-X:1	Zr:Sn	1170:1171	1965:1998
C:2-H:6-O:2-X:1	C:S	1951:6696	1765:1874
C:7-H:7-O:2-S:1-X:1	H:Br:Cl	10257:10628:9714	1962:1916:1984
C:2-H:6-O:2-X:2	C:N:S	8576:6402:11104	1754:1814:1868
C:2-H:6-O:2-X:4	O:C	2692:3139	1782:1905
C:4-H:8-O:2-S:1-X:2	N:H	9583:9203	1963:1823
C:4-H:8-O:2-S:1-X:3	C:O	10257:6392	1962:1810
C:10-H:11-O:6-X:3	H:N	2564:11213	1977:1756
C:8-H:7-O:1-X:1	N:H:Cl	3855:6808:6813	1773:1724:1905
Cl:2-H:13-N:4-O:1-Pt:1-X:1	H:Cl:Br	2901:9939:9965	1860:1945:1726
C:2-H:2-O:5-X:1	C:Ca:Sr	2007:259:6770	1825:1745:1848
C:2-H:2-O:5-X:2	K:Rb	349:8872	1733:1711
C:5-H:10-N:1-O:2-X:1	H:Ag	4635:10226	1740:1751
Cu:1-O:3-Se:1-X:1	Cu:O	684:7389	1978:1919
C:4-H:4-O:4-Sr:1-X:2	H:O	4691:3436	1999:1818
C:2-Li:1-O:4-X:1	Li:H	727:6810	1963:1945
C:7-H:5-N:1-O:4-X:2	N:O:C:H	7305:5520:3249:5527	1747:1911:1946:1854
C:21-H:20-O:6-X:3	C:O	5930:8097	1788:1829
C:4-H:6-N:1-O:4-X:1	Ag:H	5478:1377	1947:1838
C:4-H:6-N:1-O:4-X:3	H:N	2082:6458	1832:1820
C:6-H:2-Cl:3-N:1-X:2	H:O	3692:10094	1967:1890
C:3-H:2-K:1-O:3-X:3	H:N	2959:7039	1771:1715
Na:2-O:3-X:1	C:Se:Si:Sn:Te:S	38:604:7371:4524:1136:51	1874:1740:1746:1703:1996:1836
C:7-H:5-Cl:2-X:1	H:Cl	4463:7068	1760:1974
Na:3-Sb:1-Se:1-X:3	S:Se	6889:6919	1739:1766
C:20-H:19-N:1-O:4-X:2	H:O	6222:10251	1970:1848
H:1-Hg:1-I:1-X:2	Br:I	1677:1316	1902:1798
C:3-H:9-Pb:1-X:1	Cl:Br	8499:8498	1984:1763
Cl:9-Sb:1-X:1	S:Se	2495:10296	1753:1839
C:2-H:6-N:2-X:1	C:O	5905:4723	1726:1841
C:6-H:6-O:5-X:1	S:C:O	7616:9:2912	1739:1764:1881
C:2-H:6-N:2-X:2	C:H:O	2964:7075:6402	1721:1939:1814
C:7-H:7-Cl:1-O:1-X:1	O:C	4027:6813	1798:1905
F:6-H:4-O:2-Sn:1-X:1	Ca:Sr	7156:7198	1847:1778
C:10-H:9-O:4-X:1	H:I:Br:N	4746:6416:6275:6265	1730:1963:1713:1939
Ba:1-Cl:4-H:6-O:3-X:1	Pd:Pt	1459:7865	1815:1968
Zn:3-X:2	P:As:N:Sb	4740:1654:6853:5819	1702:1849:1949:1967
C:4-Cl:1-O:2-X:7	Cl:H	2807:6701	1976:1782
C:6-H:9-N:3-O:2-X:1	C:O	2274:4483	1722:1895
C:15-H:22-O:1-X:4	C:H	4679:11242	1774:1796
Cr:1-O:3-X:1	O:Cr:P	994:602:1302	1826:1961:1835
Cr:1-O:3-X:2	O:H	3496:7130	1713:1981
C:8-H:19-Si:1-X:1	H:Cl	8809:10018	1727:1840
C:8-H:7-N:1-X:1	O:S:C	3855:11294:5351	1773:1784:1737
C:8-H:7-N:1-X:3	O:C	3101:11353	1955:1826
Cl:4-Pd:1-X:2	H:K	1320:1409	1840:1863
C:8-H:7-N:1-X:4	O:H	4432:2451	1947:1872
C:9-H:10-O:2-S:1-X:3	C:O	2152:6748	1940:1956
C:7-H:12-O:2-X:1	C:O	7107:9731	1756:1740
C:7-H:12-O:2-X:2	O:Cl:C:H	6979:9999:6720:3084	1788:1932:1734:1948
H:10-O:8-S:2-X:1	Sr:Fe	449:3319	1704:1970
I:2-O:11-X:8	As:Ag:Hg	7246:10400:11025	1848:1955:1700
C:7-H:12-O:2-X:4	H:O:C	9152:2683:2931	1937:1953:1898
C:1-H:2-Na:2-O:1-X:3	O:S	1769:8472	1880:1703
C:8-H:14-O:5-X:4	C:H	3854:8213	1788:1877
K:2-Sn:1-X:3	O:S	383:5172	1780:1814
C:6-H:2-Cl:3-X:1	H:Cl	2852:10282	1970:1914
C:14-H:11-O:4-X:3	N:H	7633:6819	1845:1735
O:7-U:2-X:1	Cu:Pb:Ba	7894:838:850	1994:1827:1853
O:7-U:2-X:2	K:Na	3177:7805	1867:1899
C:8-H:11-X:3	H:N	10122:10065	1711:1721
C:8-H:5-N:3-O:6-X:2	H:C:N	7610:9627:725	1994:1769:1803
Cl:3-Hg:1-X:1	K:Na	1294:5373	1867:1951
H:1-O:4-P:1-X:1	Ba:Pb:Sr:Mg:Ca	551:7785:6551:2710:737	1934:1821:1822:1828:1902
C:30-H:66-O:1-X:2	C:Sn	5517:6000	1707:1700
H:1-O:4-P:1-X:2	K:Na:Tl:H:Pb	4262:608:9390:90:6084	1877:1726:1749:1972:1889
Mn:2-O:4-X:1	Ti:Mn	8966:882	1837:1968
C:1-H:2-O:4-X:1	Mg:C	5146:10	1845:1909
C:1-H:2-O:4-X:2	Na:K	1769:7388	1880:1926
Cd:1-O:3-X:1	C:S:Se:Te	1403:3523:4947:6549	1999:1861:1878:1801
C:2-H:6-As:1-O:2-X:1	H:Ag	3082:3677	1804:1720
C:7-H:4-N:1-O:3-X:1	H:N	5326:9289	1793:1844
C:10-H:13-Cl:1-N:1-X:1	H:N	5083:2195	1973:1900
C:3-H:4-N:2-O:3-X:1	C:O	6273:2679	1991:1896
H:12-Mg:1-O:6-X:2	Cl:Br	9019:3185	1815:1716
C:6-H:3-N:2-O:3-X:5	H:N	4238:5128	1865:1809
C:4-H:5-N:1-O:3-X:2	N:C:H	2702:6502:1532	1706:1735:1944
C:8-H:18-O:2-X:1	C:O	4636:7567	1883:1787
C:6-H:3-Cl:2-N:1-X:2	H:O	4060:11343	1871:1842
C:18-H:34-O:1-X:2	H:O	5919:4216	1950:1999
C:3-H:9-X:1	B:N:P:Al:As:Sb	6394:5349:6822:10164:5892:5329	1788:1913:1994:1780:1879:1882
C:4-H:10-O:2-S:1-X:1	S:C:O	2920:5071:7248	1899:1806:1845
C:8-H:18-O:2-X:4	C:N	10686:8031	1734:1706
Ba:1-S:1-X:4	O:S	464:7797	1705:1767
C:2-H:4-Cl:1-X:1	H:Cl:I	1071:2291:8805	1704:1711:1849
C:20-H:12-X:2	H:N:Br	10587:2271:10641	1832:1988:1762
K:2-Pt:1-X:6	Br:I:Cl	1652:1864:125	1929:1973:1904
C:6-H:11-N:3-O:3-X:10	H:C	2286:3106	1965:1783
C:6-H:3-O:2-X:1	Cl:H	4871:2703	1708:1944
C:5-H:6-O:4-X:2	K:H:Br:Cl:C	4469:64:8030:9586:4943	1882:1805:1716:1870:1892
C:6-H:3-O:2-X:3	Br:Cl:H	5952:4869:3139	1798:1898:1905
C:5-H:6-O:4-X:4	O:H:C:N	8035:5889:5775:8836	1791:1810:1864:1970
C:10-H:6-O:1-X:2	H:O	2188:9373	1753:1798
C:9-H:12-N:1-O:5-S:1-X:1	N:H	2424:6771	1891:1994
C:6-H:8-N:3-O:1-X:1	H:Cl	8848:10719	1789:1866
H:12-Ni:1-O:6-X:2	Br:Cl	1680:3490	1700:1949
Cl:2-O:2-Sr:1-X:4	O:H	525:8972	1993:1822
Hg:1-O:3-Se:1-X:1	Hg:S	628:9442	1950:1925
Ba:1-H:2-X:2	O:S	266:3230	1991:1826
C:11-H:14-O:3-X:1	O:C	4667:5532	1814:1979
C:11-H:14-O:3-X:4	C:H	11229:11237	1876:1741
As:2-O:4-X:1	Ca:O:Ba	2500:337:4591	1823:1813:1878
C:12-H:16-O:6-X:2	H:O	2925:8853	1966:1701
C:11-H:14-O:3-X:8	H:C	5707:8055	1952:1809
Co:1-K:3-O:12-X:6	C:N	2247:5190	1905:1754
O:4-P:2-Sr:1-X:2	O:H	4277:4178	1800:1824
C:8-H:11-O:2-X:1	H:N	7107:11303	1756:1738
S:6-X:2	Sn:S	5395:426	1836:1754
C:2-H:7-Cl:1-N:1-X:1	N:H	6754:5536	1818:1749
C:8-H:11-O:2-X:3	N:H	7623:9210	1907:1778
S:6-X:4	P:As	1565:4975	1733:1849
C:16-H:14-N:2-O:4-X:2	H:O:N	6226:9274:7631	1985:1891:1807
C:10-H:6-Br:1-X:1	Br:H	9594:2268	1961:1851
C:11-H:10-N:2-O:1-X:3	C:O	6177:5947	1965:1986
C:7-H:6-X:1	C:O:S	11325:998:3094	1987:1720:1944
C:7-H:6-X:2	Cl:H:Br:N:O:S	4463:3152:9599:6025:1535:1923	1760:1972:1769:1734:1953:1826
C:3-H:1-Br:1-O:1-X:4	H:Br	6493:4413	1939:1927
C:3-H:6-S:2-X:1	S:O	4269:2263	1835:1727
Al:2-X:1	Fe:Ti	7392:7444	1996:1786
Cu:1-O:7-X:2	U:Cr	7894:3470	1994:1864
Al:2-X:3	Te:Se:O:S	1287:1356:78:1301	1740:1790:1743:1814
C:10-H:10-N:2-O:5-X:2	C:H	11191:6725	1910:1889
C:7-H:11-Cl:1-X:4	H:O	8773:7088	1859:1716
C:3-H:5-K:1-O:1-S:1-X:1	O:S	5112:857	1708:1964
C:6-H:3-N:2-X:5	H:Br	8142:10185	1945:1842
C:15-H:33-O:3-X:1	B:P	10526:5882	1856:1999
C:3-H:3-N:2-O:2-X:3	H:Br	5913:9223	1707:1810
C:4-H:4-N:1-O:2-X:1	Ag:H	4902:2198	1774:1877
Br:6-H:20-O:10-Pt:1-X:1	Ba:Sr	1707:10956	1974:1762
H:2-I:2-O:12-X:4	Cu:Zn	2411:5475	1973:1823
H:2-O:1-X:1	O:C	595:2591	1901:1902
Co:1-H:12-O:12-X:2	S:Br:N:Cl	1198:3259:226:3531	1770:1844:1706:1917
C:6-Br:1-O:2-X:3	Cl:Br	11251:5932	1798:1766
Mg:3-O:8-X:2	P:N:As	5142:4768:2521	1974:1747:1736
C:8-H:7-Br:2-O:2-X:1	H:N	6990:11186	1971:1920
C:11-H:14-N:2-O:4-X:1	O:C	10655:7638	1944:1993
C:4-H:6-O:3-X:2	O:H:C	593:5277:3694	1987:1733:1702
C:4-H:6-O:3-X:3	O:C	65:2850	1967:1776
C:16-H:16-O:4-X:2	N:C:H	6226:10140:10649	1985:1749:1803
C:4-H:6-O:3-X:4	H:C:N	8569:1946:2032	1733:1729:1836
As:2-K:2-O:7-X:2	K:As	1175:4550	1823:1958
H:24-Mg:1-O:12-Pt:1-X:6	Cl:Br	10950:1702	1964:1806
As:1-Na:3-X:4	O:S	1094:1019	1813:1858
Na:2-S:2-X:3	S:O	1139:41	1935:1902
C:8-H:8-Mg:1-O:12-X:2	H:Na	1908:1900	1725:1819
C:5-H:14-P:1-X:1	Cl:I	6785:6783	1980:1767
C:2-H:6-I:2-X:1	C:Sn	5895:7335	1997:1743
C:7-H:4-Br:2-N:1-O:2-X:1	H:Br	10108:10160	1715:1716
C:1-H:1-Cl:2-X:1	Cl:H:I	1824:7261:6385	1746:1826:1719
F:6-H:4-O:2-Si:1-X:2	Hg:Li	7473:9134	1731:1879
C:4-H:2-O:6-X:2	Pb:C:H	7963:2557:1379	1955:1768:1970
C:5-H:6-O:4-S:1-X:1	C:O	8042:7399	1708:1842
C:11-H:22-S:2-X:1	S:O	8824:4422	1885:1787
C:12-H:9-N:3-O:1-X:2	O:H	4047:8560	1760:1738
C:6-H:12-O:7-X:5	C:O	5526:6740	1700:1813
